Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CTR,CPC,CPM,CVR,vCPM,Viewability
US>Made In America Audience,320x50,Sign up Now - 10% Off,"New York City, New York",upworthy.com,PubMatic,Smartphone,16137,40,7938,14030,4,"$1,835.05",$458.76,0.25%,$45.88,$113.72,10.00%,$231.17,56.5787598
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 25 or older,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",usatoday.com,OpenX,Smartphone,47016,199,12210,38039,13,"$5,974.88",$459.61,0.42%,$30.02,$127.08,6.53%,$489.34,32.09863561
US>Interest Propensities>Activities and Interests>Ecommerce,300x250,Subscribe Today - 10% Discount,"New York City, New York",wsj.com,Google Ad Manager,Windows PC,20459,40,12668,18613,4,"$1,842.61",$460.65,0.20%,$46.07,$90.06,10.00%,$145.45,68.05995809
US>Reach>Propensity Models>Lifestyle>Charities>Contributes by Volunteering,300x50,Subscribe Today - 10% Discount,"San Francisco, California",sneakertoast.com,PubMatic,Smartphone,15475,110,6019,10952,9,"$4,156.71",$461.86,0.71%,$37.79,$268.61,8.18%,$690.60,54.95799854
Online Behavior>United States>Arts and Entertainment>Events and Listings>Live Sporting Events,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",my.yahoo.com,Google Ad Manager,Smartphone,21028,10,5781,16134,11,"$5,101.32",$463.76,0.05%,$510.13,$242.60,110.00%,$882.43,35.831164
Online Behavior>United States>Hobbies and Leisure>Clubs and Organizations,300x50,Subscribe Today - 10% Discount,"Chicago, Illinois",weather.com,Google Ad Manager,Smartphone,207823,600,33602,167814,13,"$6,048.96",$465.30,0.29%,$10.08,$29.11,2.17%,$180.02,20.0233592
Online Behavior>United States>Jobs and Education>Education,300x250,Sign up Now - 10% Off,"Chicago, Illinois",biblegateway.com,Google Ad Manager,Windows PC,113420,333,33557,104929,11,"$5,124.44",$465.86,0.29%,$15.39,$45.18,3.30%,$152.71,31.98067265
Online Behavior>United States>Autos and Vehicles>Brands>Peugeot,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",todaysnyc.com,Google Ad Manager,Smartphone,17317,68,8055,12724,12,"$5,668.86",$472.40,0.39%,$83.37,$327.36,17.65%,$703.77,63.30556429
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Individual Sports,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",yahoo.com,TripleLift,Smartphone,37227,130,13542,32456,4,"$1,901.09",$475.27,0.35%,$14.62,$51.07,3.08%,$140.39,41.72418043
Online Behavior>United States>Autos and Vehicles>Brands>Mercedes-Benz,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",accuweather.com,PubMatic,Smartphone,23965,270,13608,21704,12,"$5,706.86",$475.57,1.13%,$21.14,$238.13,4.44%,$419.38,62.69812016
Online Behavior>United States>Autos and Vehicles>Brands>Maybach,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",insidethemagic.net,Magnite DV+,Smartphone,23941,150,13054,22276,6,"$2,856.17",$476.03,0.63%,$19.04,$119.30,4.00%,$218.80,58.60118513
US>Multibuyer Behaviors>Entertainment>Pastimes Multibuyer,300x250,Sign up Now - 10% Off,"Orlando-Daytona Beach, Florida",rent.com,BidSwitch,Smartphone,15277,69,3089,13644,4,"$1,904.56",$476.14,0.45%,$27.60,$124.67,5.80%,$616.56,22.63998827
Lotame>Technology,320x50,Subscribe Today - 10% Discount,"San Francisco, California",m.timesofindia.com,Google Ad Manager,Smartphone,9059,22,589,7480,4,"$1,908.53",$477.13,0.24%,$86.75,$210.68,18.18%,"$3,240.28",7.874331551
Media and Entertainment>Audio and Video Streaming>Streaming Video>Interest (Affinity),320x50,Sign up Today - 10% Off,"Chicago, Illinois",nytimes.com,Google Ad Manager,Smartphone,16239,78,9375,15562,5,"$2,387.69",$477.54,0.48%,$30.61,$147.03,6.41%,$254.69,60.24289937
US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>Eats at Fast Food Restaurants,300x250,Subscribe Today - 10% Discount,"New York City, New York",bestbuy.com,BidSwitch,Smartphone,18458,111,3623,16934,6,"$2,866.50",$477.75,0.60%,$25.82,$155.30,5.41%,$791.19,21.39482698
Online Behavior>United States>Finance>Insurance>Insurance,320x50,Sign up Now - 10% Off,"Chicago, Illinois",foxnews.com,Magnite DV+,Smartphone,122086,299,82898,116235,16,"$7,663.70",$478.98,0.24%,$25.63,$62.77,5.35%,$92.45,71.31931002
Online Behavior>United States>Travel>Tourist Destinations>Regional Parks and Gardens,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",cbsnews.com,Google Ad Manager,Windows PC,48211,160,30157,43810,14,"$6,708.46",$479.18,0.33%,$41.93,$139.15,8.75%,$222.45,68.83588222
Online Behavior>United States>Finance>Investing>Brokerages and Day Trading,300x250,10% Discount - Ends 6/1,"Memphis, Tennessee",newsmemory.com,Google Ad Manager,Apple PC,7695,20,3481,7050,14,"$6,727.44",$480.53,0.26%,$336.37,$874.26,70.00%,"$1,932.62",49.37588652
Online Behavior>United States>Autos and Vehicles>Vehicle Shopping>Fuel Economy and Gas Prices,320x50,Sign up Today - 10% Off,"New York City, New York",nbcnews.com,Google Ad Manager,Smartphone,92764,320,19625,76531,14,"$6,730.01",$480.72,0.34%,$21.03,$72.55,4.38%,$342.93,25.64320341
Online Behavior>United States>Games>Computer and Video Games,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",bbc.com,PubMatic,Apple PC,26558,111,15761,23532,14,"$6,751.56",$482.25,0.42%,$60.82,$254.22,12.61%,$428.37,66.97688254
Online Behavior>United States>Finance>Investing>Derivatives,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",biblegateway.com,Index Exchange,Smartphone,114384,100,61524,105104,12,"$5,803.33",$483.61,0.09%,$58.03,$50.74,12.00%,$94.33,58.5363069
Online Behavior>United States>Travel>Car Rental and Taxi Services,300x50,Subscribe Today - 10% Discount,"Los Angeles, California",dictionary.com,PubMatic,Smartphone,10350,66,723,8720,14,"$6,774.20",$483.87,0.64%,$102.64,$654.51,21.21%,"$9,369.57",8.291284404
US>Reach>Propensity Models>Hobbies and Interest>Pets>Cat Owners,300x250,Sign up Today - 10% Off,"Los Angeles, California",ebay.com,BidSwitch,Apple PC,63460,212,26978,59516,4,"$1,945.43",$486.36,0.33%,$9.18,$30.66,1.89%,$72.11,45.32898716
US>B2B>B2B Decision Maker Responsibilities>Computer Software,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",mail.aol.com,BidSwitch,Smartphone,136733,110,102728,127130,4,"$1,946.05",$486.51,0.08%,$17.69,$14.23,3.64%,$18.94,80.80547471
Online Behavior>United States>Beauty and Fitness>Fitness>Bodybuilding,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",pandora.com,Magnite DV+,Smartphone,57168,160,43261,55261,12,"$5,841.15",$486.76,0.28%,$36.51,$102.18,7.50%,$135.02,78.28486636
Online Behavior>United States>Home and Garden>Homemaking and Interior Decor,300x250,10% Discount - Ends 6/1,"Los Angeles, California",dailymail.co.uk/news,Google Ad Manager,Smartphone,7921,50,4727,6513,11,"$5,379.00",$489.00,0.63%,$107.58,$679.08,22.00%,"$1,137.93",72.57792108
Online Behavior>United States>B2B>Occupation>Musician,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",ajc.com,Xandr - Monetize SSP (AppNexus),Windows PC,17833,61,8670,16871,10,"$4,899.16",$489.92,0.34%,$80.31,$274.72,16.39%,$565.07,51.3899591
Real Estate>Rent Amount>Sensible  Rentals ($1000-$3000),300x250,10% Discount - Ends 6/1,"Los Angeles, California",drugs.com,Smart RTB+ (Smartadserver),Windows PC,49415,144,24692,45565,3,"$1,471.18",$490.39,0.29%,$10.22,$29.77,2.08%,$59.58,54.19071656
"Lotame>Style, Fashion & Clothing>Women's Clothing Shoppers",320x50,Subscribe Today - 10% Discount,"Orlando-Daytona Beach, Florida",jdpower.com,Magnite DV+,Smartphone,9040,21,3585,8450,3,"$1,473.19",$491.06,0.23%,$70.15,$162.96,14.29%,$410.93,42.4260355
Mobile - US>Sports>Water Sports>Boating,320x50,10% Discount - Ends 6/1,"New York City, New York",heraldweekly.com,Sharethrough,Smartphone,13655,66,9519,13041,3,"$1,475.25",$491.75,0.48%,$22.35,$108.04,4.55%,$154.98,72.99286865
Online Behavior>United States>Intent>Auto Buyers>Car Make>Opel,300x250,Subscribe Today - 10% Discount,"New York City, New York",finance.yahoo.com,Google Ad Manager,Smartphone,286998,815,61586,247500,13,"$6,395.55",$491.97,0.28%,$7.85,$22.28,1.60%,$103.85,24.88323232
Lotame>Technology>Mobile Phones,300x250,Sign up Today - 10% Off,"Champaign & Springfield-Decatur,Illinois",insider.com,PubMatic,Smartphone,39705,190,12950,38030,3,"$1,476.42",$492.14,0.48%,$7.77,$37.18,1.58%,$114.01,34.05206416
US>Demo>Age>55-64,300x250,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",ajc.com,Magnite DV+,Smartphone,14136,88,4683,13273,3,"$1,476.54",$492.18,0.62%,$16.78,$104.45,3.41%,$315.30,35.28215174
US>Interest Propensities>TV and Movies>Sports TV,300x250,Sign up Today - 10% Off,"Los Angeles, California",accuweather.com,Yahoo Exchange,Smartphone,15200,60,5375,12040,4,"$1,970.36",$492.59,0.39%,$32.84,$129.63,6.67%,$366.58,44.64285714
"US>B2B>Purchase DM>Technology Services, Hardware and>or Software>I am the sole decision maker",320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",phys.org,GumGum,Smartphone,56927,165,20980,55050,5,"$2,463.82",$492.76,0.29%,$14.93,$43.28,3.03%,$117.44,38.11080836
US>Composite Segment>Women Born to Shop,320x50,Subscribe Today - 10% Discount,"San Francisco, California",drugs.com,Magnite DV+,Smartphone,12220,54,7133,11331,3,"$1,478.39",$492.80,0.44%,$27.38,$120.98,5.56%,$207.26,62.95119583
Online Behavior>United States>B2B>Occupation>OfficeManager,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",dafont.com,BidSwitch,Windows PC,24464,0,3275,21993,6,"$2,959.11",$493.19,0.00%,#DIV/0!,$120.96,#DIV/0!,$903.55,14.89110171
US>Rural Improvement Fanatic,320x50,Subscribe Today - 10% Discount,"New York City, New York",cnbc.com,Index Exchange,Smartphone,10677,88,7247,10338,3,"$1,483.45",$494.48,0.82%,$16.86,$138.94,3.41%,$204.70,70.10059973
Mobile - US>Device Ownership>Smartphones>iOS (Apple)>iPhone 11,320x50,10% Discount - Ends 6/1,"New York City, New York",finance.yahoo.com,Google Ad Manager,Smartphone,22163,55,2368,8130,3,"$1,493.78",$497.93,0.25%,$27.16,$67.40,5.45%,$630.82,29.12669127
OnAudience>Interest>Business>Economy,300x250,Subscribe Today - 10% Discount,"South Bend-Elkhart, Indiana",cnn.com,Google Ad Manager,Smartphone,77748,227,6170,53603,3,"$1,498.30",$499.43,0.29%,$6.60,$19.27,1.32%,$242.84,11.51054978
"US Financial>Estimated Disposable Income>$0 - $99,999",300x250,Subscribe Today - 10% Discount,"Peoria-Bloomington, Illinois",fandom.com,OpenX,Windows PC,21143,56,3798,19588,3,"$1,500.42",$500.14,0.26%,$26.79,$70.97,5.36%,$395.05,19.3894221
OnAudience>Interest>Technology & Computing>Email,320x50,Sign up Today - 10% Off,"Jacksonville, Florida",sporcle.com,GumGum,Smartphone,16956,65,7553,15201,3,"$1,502.68",$500.89,0.38%,$23.12,$88.62,4.62%,$198.95,49.68752056
US>Response Performance>Direct Marketing Responders,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",baseball-reference.com,Xandr - Monetize SSP (AppNexus),Smartphone,117713,374,16357,100222,5,"$2,505.40",$501.08,0.32%,$6.70,$21.28,1.34%,$153.17,16.3207679
US>Demographic>Family>Female Head of Household,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",att.yahoo.com,Google Ad Manager,Smartphone,14984,63,9614,14086,3,"$1,505.01",$501.67,0.42%,$23.89,$100.44,4.76%,$156.54,68.25216527
OnAudience>Intent>Animals & Pet,300x250,Subscribe Today - 10% Discount,"New York City, New York",a-z-animals.com,OpenX,Smartphone,75161,280,40385,70325,3,"$1,506.46",$502.15,0.37%,$5.38,$20.04,1.07%,$37.30,57.42623534
Mobile - US>Travel>Destination>International Travelers>yes,320x50,Sign up Today - 10% Off,"San Francisco, California",mail.aol.com,BidSwitch,Smartphone,69136,190,40571,63614,3,"$1,507.95",$502.65,0.27%,$7.94,$21.81,1.58%,$37.17,63.77684158
US>Brand Propensities>Travel>Choice Hotels Buyer Propensity,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",biblegateway.com,Magnite DV+,Smartphone,210096,590,90928,184823,4,"$2,027.43",$506.86,0.28%,$3.44,$9.65,0.68%,$22.30,49.19734016
OnAudience>Intent>Electronics>Video Game Consoles,320x50,Sign up Now - 10% Off,"Chicago, Illinois",reuters.com,Taboola,Smartphone,16791,40,11402,14231,3,"$1,522.51",$507.50,0.24%,$38.06,$90.67,7.50%,$133.53,80.1208629
US>Reach>Propensity Models>Hobbies and Interest>Sports>NFL Enthusiast,300x250,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",medicalnewstoday.com,Google Ad Manager,Smartphone,22444,160,12672,21345,5,"$2,539.20",$507.84,0.71%,$15.87,$113.13,3.13%,$200.38,59.36753338
OnAudience>Interest>Business,300x250,Sign up Today - 10% Off,"San Francisco, California",cbsnews.com,PubMatic,Smartphone,13700,63,3609,12644,4,"$2,032.70",$508.18,0.46%,$32.27,$148.37,6.35%,$563.23,28.54318254
Online Behavior>United States>Sports>Water Sports>Surfing,300x250,Sign up Today - 10% Off,"Nashville, Tennessee",ebay.com,Google Ad Manager,Smartphone,23983,0,464,19802,9,"$4,574.35",$508.26,0.00%,#DIV/0!,$190.73,#DIV/0!,"$9,858.51",2.343197657
Online Behavior>United States>Autos and Vehicles>Brands>Lexus,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",sportpirate.com,Index Exchange,Windows PC,17075,44,5508,11539,10,"$5,086.09",$508.61,0.26%,$115.59,$297.87,22.73%,$923.40,47.73377242
US>Interest Propensities>Activities and Interests>International News,300x50,Subscribe Today - 10% Discount,"Rockford, Illinois",bridesblush.com,Google Ad Manager,Smartphone,9946,20,4818,7382,3,"$1,525.96",$508.65,0.20%,$76.30,$153.42,15.00%,$316.72,65.26686535
Mobile - US>Demographics>Finance>Rent Value>Lowest Rent Value,320x50,10% Discount - Ends 6/1,"Charleston, South Carolina",outlook.live.com,Google Ad Manager,Smartphone,55274,219,47583,51275,3,"$1,532.76",$510.92,0.40%,$7.00,$27.73,1.37%,$32.21,92.79960995
Media and Entertainment>Television (TV)>Viewership,300x250,Sign up Today - 10% Off,"New York City, New York",womenshealthmag.com,BidSwitch,Smartphone,14693,70,6597,13508,4,"$2,047.35",$511.84,0.48%,$29.25,$139.34,5.71%,$310.35,48.83772579
Online Behavior>United States>Autos and Vehicles>Brands>BMW,300x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",forbes.com,TripleLift,Smartphone,88022,370,45972,83922,11,"$5,669.14",$515.38,0.42%,$15.32,$64.41,2.97%,$123.32,54.77943805
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Individual Sports>Tennis and Racquet Sports,300x250,Sign up Now - 10% Off,"Orlando-Daytona Beach, Florida",investopedia.com,BidSwitch,Apple PC,17228,30,11116,16044,3,"$1,547.51",$515.84,0.17%,$51.58,$89.83,10.00%,$139.21,69.28446771
Online Behavior>United States>Intent>Travel>Future Travel,300x250,Sign up Now - 10% Off,"Chicago, Illinois",weather.com,Google Ad Manager,Smartphone,100991,286,56138,88836,9,"$4,652.37",$516.93,0.28%,$16.27,$46.07,3.15%,$82.87,63.19284975
OnAudience>Interest>Technology & Computing>Entertainment,300x250,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",yahoo.com,BidSwitch,Smartphone,85965,233,33865,78662,3,"$1,555.53",$518.51,0.27%,$6.68,$18.09,1.29%,$45.93,43.0512827
Mobile - US>Shopping>Brand>Old Navy,300x250,Sign up Now - 10% Off,"Los Angeles, California",autotrader.com,PubMatic,Smartphone,67752,174,47126,65080,3,"$1,557.02",$519.01,0.26%,$8.95,$22.98,1.72%,$33.04,72.41241549
Online Behavior>United States>Food and Drink>Restaurants>Fast Food,300x50,Sign up Now - 10% Off,"Chicago, Illinois",macrumors.com,Google Ad Manager,Smartphone,7822,25,3786,7232,13,"$6,781.82",$521.68,0.32%,$271.27,$867.02,52.00%,"$1,791.29",52.35066372
OnAudience>Interest>Arts & Entertainment>Celebrity Fan>Gossip,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",ebay.com,BidSwitch,Smartphone,77703,204,33478,72874,3,"$1,566.91",$522.30,0.26%,$7.68,$20.17,1.47%,$46.80,45.93956692
US>Reach>Propensity Models>Finance>Credit>Debit Card>Major Credit Card User,320x50,Sign up Today - 10% Off,"Chicago, Illinois",m.timesofindia.com,BidSwitch,Smartphone,12868,80,6472,11922,6,"$3,137.14",$522.86,0.62%,$39.21,$243.79,7.50%,$484.73,54.28619359
Online Behavior>United States>Beauty and Fitness>Fitness>Gyms and Health Clubs,320x50,Sign up Today - 10% Off,"New York City, New York",rollingstone.com,Google Ad Manager,Smartphone,25835,69,3753,20808,11,"$5,751.91",$522.90,0.27%,$83.36,$222.64,15.94%,"$1,532.62",18.03633218
OnAudience>Interest>Science>Weather,300x250,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",omnicalculator.com,Magnite DV+,Smartphone,13823,58,10671,12937,3,"$1,574.71",$524.90,0.42%,$27.15,$113.92,5.17%,$147.57,82.48434722
OnAudience>Interest>Science>Weather Forecast,300x250,Sign up Today - 10% Off,"Los Angeles, California",biblegateway.com,Google Ad Manager,Windows PC,16808,43,9211,13372,3,"$1,574.79",$524.93,0.26%,$36.62,$93.69,6.98%,$170.97,68.88274005
Telecommunications and Mobile Tech>Mobile Devices and Connected Technology,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",realtor.com,PubMatic,Apple PC,11269,63,4992,10245,3,"$1,576.39",$525.46,0.56%,$25.02,$139.89,4.76%,$315.78,48.72620791
US Demographic>Preferred Language>Non-Hispanic,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",wikihow.com,BidSwitch,Smartphone,37355,145,17138,35689,3,"$1,577.37",$525.79,0.39%,$10.88,$42.23,2.07%,$92.04,48.02039844
Online Behavior>United States>The Changing Consumer>Online Retailers,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",investing.com,Google Ad Manager,Smartphone,42759,177,17744,34812,12,"$6,316.49",$526.37,0.41%,$35.69,$147.72,6.78%,$355.98,50.97092956
Online Behavior>United States>Intent>Auto Buyers>Car Make>Jeep,300x250,Sign up Today - 10% Off,"New York City, New York",weather.com,Smart RTB+ (Smartadserver),Windows PC,96779,299,9831,63640,12,"$6,317.51",$526.46,0.31%,$21.13,$65.28,4.01%,$642.61,15.44783155
US>B2B>B2B Decision Maker Responsibilities>Advertising Services,320x50,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",dmv.org,BidSwitch,Smartphone,14917,10,3065,13109,3,"$1,583.54",$527.85,0.07%,$158.35,$106.16,30.00%,$516.65,23.38088336
US>B2B>B2B Decision Maker Responsibilities>Financial Services,300x250,Sign up Now - 10% Off,"New York City, New York",androidpolice.com,Taboola,Apple PC,11668,110,7860,11009,5,"$2,653.98",$530.80,0.94%,$24.13,$227.46,4.55%,$337.66,71.39613044
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 45-54,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",cbsnews.com,Google Ad Manager,Smartphone,43117,100,6478,27405,8,"$4,250.43",$531.30,0.23%,$42.50,$98.58,8.00%,$656.13,23.63802226
US>B2B>B2B Decision Maker Responsibilities>Employee Benefits,320x50,Subscribe Today - 10% Discount,"Jacksonville, Florida",classmates.com,Magnite DV+,Smartphone,12451,30,2987,11295,4,"$2,127.32",$531.83,0.24%,$70.91,$170.86,13.33%,$712.19,26.44532979
US>Interest Propensities>TV and Movies>Reality>Game Shows,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",nbcsports.com,Index Exchange,Smartphone,15047,84,5653,14459,4,"$2,127.50",$531.87,0.56%,$25.33,$141.39,4.76%,$376.35,39.09675635
US>B2B>B2B Decision Maker Responsibilities>Office Services or Moving,300x250,Sign up Today - 10% Off,"Nashville, Tennessee",realtor.com,BidSwitch,Apple PC,49412,170,22155,43802,3,"$1,595.66",$531.89,0.34%,$9.39,$32.29,1.76%,$72.02,50.5798822
Media and Entertainment>Consumer Entertainment Technology,300x250,Sign up Now - 10% Off,"New York City, New York",editorsnation.com,Google Ad Manager,Smartphone,10942,66,4578,9155,3,"$1,595.75",$531.92,0.60%,$24.18,$145.84,4.55%,$348.57,50.0054615
Online Behavior>United States>B2B>Occupation>ElectricalEngineer,320x50,Sign up Today - 10% Off,"Chicago, Illinois",miamiherald.com,Google Ad Manager,Smartphone,38735,114,28719,36629,4,"$2,127.82",$531.96,0.29%,$18.67,$54.93,3.51%,$74.09,78.40508886
US>Reach>Propensity Models>Household Consumer Expenditures>Lawn and Garden,300x250,Sign up Today - 10% Off,"New York City, New York",cbsnews.com,Google Ad Manager,Windows PC,65983,212,8536,57434,3,"$1,599.08",$533.03,0.32%,$7.54,$24.23,1.42%,$187.33,14.8622767
US Buying Channel Preference>Online,320x50,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",travelerdreams.com,BidSwitch,Smartphone,10707,57,6300,10089,3,"$1,603.86",$534.62,0.53%,$28.14,$149.80,5.26%,$254.58,62.44424621
Online Behavior>United States>Intent>Shopping>Home and Garden,320x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",msn.com,Google Ad Manager,Smartphone,26270,63,12813,21893,12,"$6,417.26",$534.77,0.24%,$101.86,$244.28,19.05%,$500.84,58.52555611
Online Behavior>United States>Real Estate>Homeowner,300x250,10% Discount - Ends 6/1,"New York City, New York",ebay.com,Google Ad Manager,Smartphone,161178,492,70181,150003,11,"$5,892.48",$535.68,0.31%,$11.98,$36.56,2.24%,$83.96,46.78639761
US>Reach>Propensity Models>Hobbies and Interest>Sports>NHL Enthusiast,300x250,Sign up Now - 10% Off,"New York City, New York",realtor.com,Sovrn,Smartphone,114267,110,60964,108301,5,"$2,679.15",$535.83,0.10%,$24.36,$23.45,4.55%,$43.95,56.29126232
Online Behavior>United States>Intent>Shopping>Wireless Providers,300x250,10% Discount - Ends 6/1,"Los Angeles, California",milb.com,Google Ad Manager,Apple PC,39725,144,5402,36080,12,"$6,431.56",$535.96,0.36%,$44.66,$161.90,8.33%,"$1,190.59",14.97228381
Online Behavior>United States>Intent>Services>Restaurants,300x250,Sign up Now - 10% Off,"San Francisco, California",weather.com,Google Ad Manager,Apple PC,29856,111,7664,21698,9,"$4,851.39",$539.04,0.37%,$43.71,$162.49,8.11%,$633.01,35.32122776
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 25-44,320x50,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",outlook.live.com,BidSwitch,Smartphone,264580,691,217526,240731,9,"$4,874.65",$541.63,0.26%,$7.05,$18.42,1.30%,$22.41,90.36060998
Online Behavior>United States>The Changing Consumer>Home Cooking,300x50,10% Discount - Ends 6/1,"New York City, New York",kbb.com,Google Ad Manager,Smartphone,58938,175,41861,55929,9,"$4,881.20",$542.36,0.30%,$27.89,$82.82,5.14%,$116.60,74.84668061
Online Behavior>United States>Autos and Vehicles>Brands>SEAT,300x250,Sign up Now - 10% Off,"Chicago, Illinois",mail.aol.com,BidSwitch,Smartphone,14083,97,9945,12878,11,"$5,979.67",$543.61,0.69%,$61.65,$424.60,11.34%,$601.27,77.22472434
US>B2B>B2B Decision Maker Responsibilities>Security Services,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",slickdeals.net,PubMatic,Smartphone,12488,99,4021,11403,4,"$2,176.66",$544.16,0.79%,$21.99,$174.30,4.04%,$541.32,35.26265018
Online Behavior>United States>The Changing Consumer>Natural Disasters,300x250,Sign up Today - 10% Off,"Chicago, Illinois",outlook.live.com,Yahoo Exchange,Apple PC,42755,117,36503,40051,12,"$6,550.30",$545.86,0.27%,$55.99,$153.21,10.26%,$179.45,91.14129485
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 18-64,320x50,Sign up Now - 10% Off,"Chicago, Illinois",mail.yahoo.com,Yahoo Exchange,Smartphone,742281,1999,432673,642404,11,"$6,024.42",$547.67,0.27%,$3.01,$8.12,0.55%,$13.92,67.35216468
US>Interest Propensities>Brands>Quick Service Restaurants,320x50,Sign up Now - 10% Off,"Ft. Myers-Naples, Florida",accuweather.com,BidSwitch,Smartphone,213699,270,18395,164487,4,"$2,194.99",$548.75,0.13%,$8.13,$10.27,1.48%,$119.33,11.1832546
Online Behavior>United States>Travel>Travel Agencies and Services,300x50,Subscribe Today - 10% Discount,"New York City, New York",mail.yahoo.com,Google Ad Manager,Smartphone,184622,180,98938,161848,13,"$7,149.82",$549.99,0.10%,$39.72,$38.73,7.22%,$72.27,61.13019623
Online Behavior>United States>Sports>Sports League>Premier League,300x250,Sign up Today - 10% Off,"Chicago, Illinois",cnet.com,BidSwitch,Smartphone,8217,25,5740,8009,11,"$6,051.33",$550.12,0.30%,$242.05,$736.44,44.00%,"$1,054.24",71.66937196
US>Home and Garden Interests>House and Garden Merchandise Buyers,300x250,Subscribe Today - 10% Discount,"Jacksonville, Florida",mail.aol.com,Index Exchange,Smartphone,15033,76,5495,7050,3,"$1,650.72",$550.24,0.51%,$21.72,$109.81,3.95%,$300.40,77.94326241
Online Behavior>United States>Games>Family-Oriented Games and Activities,300x250,Sign up Now - 10% Off,"Los Angeles, California",findagrave.com,BidSwitch,Windows PC,25021,50,11084,18079,9,"$4,961.48",$551.28,0.20%,$99.23,$198.29,18.00%,$447.63,61.3087007
Online Behavior>United States>Intent>Shopping>Fashion,300x250,10% Discount - Ends 6/1,"Los Angeles, California",outlook.live.com,Google Ad Manager,Windows PC,102958,320,86884,94687,12,"$6,624.22",$552.02,0.31%,$20.70,$64.34,3.75%,$76.24,91.7591644
US>B2B>B2B Decision Maker Responsibilities>Computer Hardware,320x50,10% Discount - Ends 6/1,"San Francisco, California",finance.yahoo.com,Sovrn,Smartphone,51056,120,24672,45563,4,"$2,215.63",$553.91,0.24%,$18.46,$43.40,3.33%,$89.80,54.14920001
Purchase-Based,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",scitechdaily.com,Index Exchange,Smartphone,11289,97,1345,8187,3,"$1,665.16",$555.05,0.86%,$17.17,$147.50,3.09%,"$1,238.04",16.42848418
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 25 or older,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",abcnews.go.com,Google Ad Manager,Apple PC,10524,55,7601,10242,11,"$6,136.13",$557.83,0.52%,$111.57,$583.06,20.00%,$807.28,74.2140207
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Olympics>Summer Olympics,320x50,Sign up Today - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",att.yahoo.com,BidSwitch,Smartphone,10992,97,6677,10132,3,"$1,675.99",$558.66,0.88%,$17.28,$152.47,3.09%,$251.01,65.90011844
